HawtC2_ProjectName: SectionMESH_1_复合材料叶片截面属性示例弦长方向插值新的版本 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HawtC2.PCS @CopyRight 赵子祯
计算时间：07/21/2025 23:30:59
-------------- 自定义网格 -----------------!（used only pre.SelfMesh is true）!该文件由PcsL自动生成
664                                   FEMNodeNum        -   自定义网格当中的有限元节点数量
578                                   FEMElementNum   -  自定义网格当中的单元数量
Q4                   ElememtType    -    单元类型{0：Q4单元；1：Q8单元}
!BeginNode  (节点编号，从零开始 ； 节点x坐标  ；节点y坐标)
0  0.00000000000000000000  0.00000000000000000000
1  0.00006487872208438272  0.00000000000000000000
2  0.00038100000000002021  0.00000000000000000000
3  0.00089099999999997515  0.00000000000000000000
4  0.00511554249379653214  0.00000000000000000000
5  0.00564768424317618756  0.00000000000000000000
6  0.00898698014888338337  0.00000000000000000000
7  0.01043100000000002359  0.00000000000000000000
8  0.00101851400000002590  0.00704816399999999999
9  0.00108185748388356373  0.00703413361765332229
10  0.00139049832065679668  0.00696577064355976498
11  0.00188843008846517613  0.00685548032391535521
12  0.00601300638673485377  0.00594189965334239369
13  0.00653255595927060284  0.00582682105797922237
14  0.00979283343684689278  0.00510467985635625152
15  0.01120268315687988903  0.00479240257997875022
16  0.00272684200000000709  0.01231097400000000057
17  0.00278528357397450632  0.01228279899315561433
18  0.00307003987703796666  0.01214551640060783540
19  0.00352943861008098159  0.01192403772425611880
20  0.00733482972642673925  0.01008943756794702593
21  0.00781417334498413219  0.00985834335170370640
22  0.01082215042015566286  0.00840818092593362959
23  0.01212289726347309804  0.00778108366073575891
24  0.00779000000000001913  0.02109381453602790502
25  0.00798314364466140569  0.02098247051405631100
26  0.00834099896864515244  0.02077617301394363639
27  0.00946291381160069278  0.02012940821283770720
28  0.01391072450060815147  0.01756532109544614584
29  0.01454742980550477460  0.01719827133006490011
30  0.01854288293479228189  0.01489496064234450620
31  0.02027064645015985711  0.01389893439900595842
32  0.01307144900000001275  0.03025531499999999790
33  0.01336725033122210249  0.03001518467611892158
34  0.01376320486907844920  0.02969375038430960637
35  0.01537806186506079920  0.02838281600864346957
36  0.02007003066642681910  0.02457389471928678876
37  0.02079805462393768956  0.02398288781614678691
38  0.02536655056210984638  0.02027420129756265024
39  0.02734211637321132260  0.01867044496520194399
40  0.03194620100000000740  0.05085030799999999684
41  0.03220368637234088949  0.05056948370790531611
42  0.03254835183137982924  0.05019357717518015127
43  0.03395403196530588641  0.04866048376124153946
44  0.03803823716086807138  0.04420607913861803601
45  0.03867195817557167459  0.04351491655442248085
46  0.04264868428704010617  0.03917773310607854109
47  0.04436834963253999398  0.03730219431760548737
48  0.05854669499999998195  0.07195117599999999169
49  0.05876311597664179986  0.07163761107710615861
50  0.05905281334694967299  0.07121787850315378088
51  0.06023431218187175196  0.06950604540443941493
52  0.06366715836335823386  0.06453231242851879823
53  0.06419981200373292562  0.06376056885603856306
54  0.06754232012781186123  0.05891772359001059417
55  0.06898772904633249103  0.05682352023172822925
56  0.09261240300000000980  0.09272182399999999436
57  0.09279282334170985136  0.09238625060967038671
58  0.09303433088573087595  0.09193705788245752630
59  0.09401929281887677625  0.09010507479164316103
60  0.09688110081323886291  0.08478224587978511195
61  0.09732514996827268394  0.08395633523680813559
62  0.10011164722594101395  0.07877358076999897707
63  0.10131661901304078732  0.07653238964921664500
64  0.13389250600000002223  0.11246069599999999888
65  0.13404110781631550786  0.11210987054455563705
66  0.13424002363343068289  0.11164026166718916955
67  0.13505127989688725521  0.10972501355538256951
68  0.13740838587439557772  0.10416025803224400470
69  0.13777412351986295658  0.10329680912411054461
70  0.14006920039269998846  0.09787849453579142156
71  0.14106166606744036107  0.09553543957868045056
72  0.18213153000000004145  0.13064012399999999636
73  0.18225487784844052186  0.13027964333715510992
74  0.18241998914162865786  0.12979711016641784505
75  0.18309337737544972846  0.12782915174680434256
76  0.18504990763921663754  0.12211124636559431145
77  0.18535349041351018018  0.12122403413539166450
78  0.18725853303875694689  0.11565659994842400482
79  0.18808233525507989103  0.11324906084054610356
80  0.21792999999999995708  0.14121631354527280910
81  0.21803794895502115470  0.14085092604807314398
82  0.21818244755623061870  0.14036182467386887351
83  0.21975351268622922429  0.13504405614451800433
84  0.22346278907251909684  0.12248883303056967708
85  0.22403833468856459987  0.12054071623657322543
86  0.22764999853837317167  0.10831589373088669481
87  0.22921179912207417795  0.10302948399869793494
88  0.23692238100000001522  0.14682736399999998800
89  0.23701218534343923561  0.14645709898693576312
90  0.23713239588190118678  0.14596146865448758612
91  0.23925611539472915745  0.13720533278123656085
92  0.24400325312928577981  0.11763279377044012775
93  0.24473983731103798878  0.11459584320396848378
94  0.24936205036836944782  0.09553837100924564285
95  0.25136084520397222741  0.08729730195206819587
96  0.24943539793343058597  0.14965569376799595092
97  0.24952163286751735671  0.14928458120266968612
